2026-01-12|02:17:43|java knowledge potion|mehraj the mage|45.00
2026-01-15|19:52:10|bracelet of rapid typing|ahmad of alchemy|-70.00
2026-01-22|07:03:58|anti-man spray|bewitched wendy|35.00
2026-01-28|23:41:22|hairband of increased intelligence|marvelous mr. marbin|-60.00
2026-02-03|12:09:11|debugging elixir|chris the cursed|55.00
2026-02-07|03:33:33|dave’s favor|overlord dave|-100.00
2026-02-14|08:48:05|mother’s love|mysterious client|80.00
2026-02-18|21:15:47|all-purpose antidote|ahmad of alchemy|-40.00
2026-02-24|16:02:19|focus enhancement charm|lucky star luis|30.00
2026-02-27|00:59:59|glasses of bug detection|jose pagan, app dev|-50.00
2026-03-02|05:27:36|academic comeback potion|kat the enchanted|60.00
2026-03-06|22:44:18|wendy’s talent|bewitched wendy|-85.00
2026-03-10|13:13:13|social battery refill vial|utsav the unseen|25.00
2026-03-13|01:08:42|ring of mild charisma|sheku zulu|-45.00
2026-03-18|09:55:00|aura protection charm|princess katherine|40.00
2026-03-21|18:29:31|boots of productivity| siren silver|-90.00
2026-03-26|03:07:07|subtle classmate sabotager|mysterious entity|50.00
2026-03-29|20:20:20|charm of deadline extension|shah the shadow|-55.00
2026-04-02|06:11:09|“i got this” delusion potion|hurera the healer|20.00
2026-04-05|23:58:44|extra strength man catcher|kat the enchanted|65.00
2026-04-08|14:36:22|group project survival kit|unfortunate slacker|70.00
2026-04-10|02:02:02|emergency clarity tonic|jose pagan, app dev|-35.00
2026-04-12|10:10:10|last-minute clarity potion|lucky star luis|30.00
2026-04-14|17:45:56|expedited blessing|mysterious service|-25.00
